Nation,Year,Pop
North America,Year1980,320.27638
Bermuda,Year1980,0.05473
Argentina,Year1980,28.3698
Former U.S.S.R.,Year1980,265.92182
Georgia,Year1980,--
Kazakhstan,Year1980,--
Kyrgyzstan,Year1980,--
Latvia,Year1980,--
Lithuania,Year1980,--
Moldova,Year1980,--
Russia,Year1980,--
Tajikistan,Year1980,--
Turkmenistan,Year1980,--
Aruba,Year1980,--
Ukraine,Year1980,--
Uzbekistan,Year1980,--
Middle East,Year1980,93.78699
Bahrain,Year1980,0.34757
Iran,Year1980,39.70873
Iraq,Year1980,13.23284
Israel,Year1980,3.73747
Jordan,Year1980,2.16278
Kuwait,Year1980,1.36977
Lebanon,Year1980,2.8987
"Bahamas, The",Year1980,0.20976
Oman,Year1980,1.18548
Palestine,Year1980,--
Qatar,Year1980,0.2369
Saudi Arabia,Year1980,10.02152
Syria,Year1980,8.75241
United Arab Emirates,Year1980,1.00029
Yemen,Year1980,9.13255
Africa,Year1980,478.96479
Algeria,Year1980,18.80606
Angola,Year1980,6.74308
Barbados,Year1980,0.25197
Benin,Year1980,3.45806
Botswana,Year1980,0.90048
Burkina Faso,Year1980,6.31819
Burundi,Year1980,4.29821
Cameroon,Year1980,8.76249
Cape Verde,Year1980,0.29645
Central African Republic,Year1980,2.34878
Chad,Year1980,4.52239
Comoros,Year1980,0.33351
Congo (Brazzaville),Year1980,1.67429
Belize,Year1980,0.14442
Congo (Kinshasa),Year1980,29.01255
Cote dIvoire (IvoryCoast),Year1980,8.59326
Djibouti,Year1980,0.32687
Egypt,Year1980,42.63422
Equatorial Guinea,Year1980,0.25601
Eritrea,Year1980,--
Ethiopia,Year1980,38.6052
Gabon,Year1980,0.71383
"Gambia, The",Year1980,0.67052
Ghana,Year1980,11.01119
Bolivia,Year1980,5.4413
Guinea,Year1980,4.44737
Guinea-Bissau,Year1980,0.7889
Kenya,Year1980,16.33054
Lesotho,Year1980,1.35857
Liberia,Year1980,1.8571
Libya,Year1980,3.06862
Madagascar,Year1980,8.69125
Malawi,Year1980,6.25893
Mali,Year1980,6.82161
Mauritania,Year1980,1.54491
Brazil,Year1980,123.01963
Mauritius,Year1980,0.9637
Morocco,Year1980,19.48727
Mozambique,Year1980,12.10262
Namibia,Year1980,--
Niger,Year1980,6.09347
Nigeria,Year1980,74.82127
Reunion,Year1980,0.51
Rwanda,Year1980,5.13984
Saint Helena,Year1980,0.00647
Sao Tome and Principe,Year1980,0.09407
Cayman Islands,Year1980,0.01708
Senegal,Year1980,5.61133
Seychelles,Year1980,0.06395
Sierra Leone,Year1980,3.33503
Somalia,Year1980,5.79356
South Africa,Year1980,30.30961
Sudan,Year1980,19.48245
Swaziland,Year1980,0.61146
Tanzania,Year1980,18.66506
Togo,Year1980,2.62551
Tunisia,Year1980,6.44318
Chile,Year1980,11.09372
Uganda,Year1980,12.41472
Western Sahara,Year1980,0.12404
Zambia,Year1980,5.64278
Zimbabwe,Year1980,7.16997
Asia & Oceania,Year1980,2469.81743
Afghanistan,Year1980,15.0436
American Samoa,Year1980,0.03242
Australia,Year1980,14.6159
Bangladesh,Year1980,87.93733
Bhutan,Year1980,0.44604
Colombia,Year1980,26.63129
Brunei,Year1980,0.18522
Burma (Myanmar),Year1980,33.33642
Cambodia,Year1980,6.88852
China,Year1980,984.73646
Cook Islands,Year1980,0.01801
Fiji,Year1980,0.63451
French Polynesia,Year1980,0.1509
Guam,Year1980,0.10687
Hawaiian Trade Zone,Year1980,
Hong Kong,Year1980,5.0631
Canada,Year1980,24.5933
Costa Rica,Year1980,2.29912
India,Year1980,684.8877
Indonesia,Year1980,151.0244
Japan,Year1980,116.80731
Kiribati,Year1980,0.05754
"Korea, North",Year1980,17.11363
"Korea, South",Year1980,38.124
Laos,Year1980,3.29316
Macau,Year1980,0.25577
Malaysia,Year1980,13.46009
Maldives,Year1980,0.15287
Cuba,Year1980,9.65298
Mongolia,Year1980,1.66238
Nauru,Year1980,0.00771
Nepal,Year1980,14.66525
New Caledonia,Year1980,0.1394
New Zealand,Year1980,3.16815
Niue,Year1980,0.002
Pakistan,Year1980,85.21912
Papua New Guinea,Year1980,2.8464
Philippines,Year1980,50.94018
